,Interests,Citations,H-Index,i10-Index,Coauthors
Aaditeshwar Seth,"Environment monitoring, ICTs for development, Computer Networks, Social Networks",2433,23,41,"['C Balachandran', 'A Seth', 'G Vaani', 'A Mahanti', 'V Srinivasan', 'A Kumar', 'R Narayanan', 'S Triukose', 'R Cohen', 'RM Tripathy', 'V Ridde', 'T Kolajo', 'MP Sylvestre', 'A Adebiyi', 'U Ismail', 'MS Ahmad', 'A Moitra', 'S Ardon', 'MH Falaki', 'S Guo', 'D Kroeker', 'R Singh', 'G Koné', 'A Bagchi', 'S Asthana', 'P Singh', 'EA Oliver', 'K Dadheech', '...', 'S Nagar', 'G Aggarwal', 'M Zaharia', 'D Chandra', 'V Vardhan', 'M Shivam', 'J Zhang', 'A Raman', 'D Chakraborty', 'A Joshi', 'MC Pérez', 'M Derakhshani', 'G Mannava', 'A Ruhela', 'R Luk', 'V Das', 'V Ribeiro', 'O Daramola', 'Z Koradia', 'S Kar', 'A Gupta', 'S Keshav', 'S Bhattacharyya']"
abhilash jindal,"Data systems, OS, Debugging, Mobile",1117,11,11,"['X Chen', 'A Pathak', 'X Zhou', 'H Zheng', 'JC Davis', 'R Vannithamby', 'A Jindal', 'BY Zhao', 'K Deb', 'P Dash', 'Y Zhu', 'YC Hu', 'F Ahmed', 'S Midkiff', 'A Nika', 'M Gupta', 'P Joshi', 'SP Midkiff', 'GD Finlayson', 'MS Drew', 'N Ding', 'Q Xu']"
Amit Kumar,Algorithms,6866,44,82,"['J Mestre', 'S Anand', 'T Kavitha', 'A Kumar', 'Y Bejerano', 'Y Sabharwal', 'A Chakrabarti', 'J Kleinberg', 'MN Garofalakis', 'S Ganguly', 'C Swamy', 'R Krishnaswamy', 'M Garofalakis', 'C Chekuri', 'R Kannan', 'A Goel', 'N Garg', 'D Panigrahi', 'S Sen', 'R Rastogi', 'K Mehlhorn', 'SJ Han', 'B Yener', 'S Khanna', 'A Silberschatz', 'T Roughgarden', 'A Gupta', 'D Kempe']"
Amitabha Bagchi,,1362,18,32,"['A Prasad', 'S Bedathur', 'S Mehta', 'A Seth', 'J Sgall', 'A Chakraborty', 'A Mahanti', 'P Kala', 'S Bora', 'A Bhargava', 'D Rubenstein', 'S Triukose', 'RM Tripathy', 'R Garg', 'R Kumar', 'A Chaudhary', 'D Eppstein', 'S Ardon', 'AP Singh', 'S Wadhwa', 'S Ranu', 'DD Yao', 'P Karia', 'N Sengupta', 'R Choudhary', 'AL Buchsbaum', 'A Singh', 'A Bagchi', 'C Scheideler', 'S Goyal', 'H Singh', 'A Nair', 'S Xu', 'R Balakrishnan', 'M Ramanath', 'MT Goodrich', 'P Singla', 'M Joshi', 'P Kolman', 'A Sen', 'A Ruhela', 'CF Yuen', 'KW Ross', 'V Kumar', 'A Gupta', 'R Yadav']"
P Venkateswara Rao,Manufacturing Engineering,9192,54,98,"['R Madarkar', 'S Agarwal', 'AV Gopal', 'S Ghosh', 'V Singh', 'D Singh', 'USP Durgumahanti', 'S Aravindan', 'P Venkateswara Rao', 'BC Behera', 'SK Chak', 'SG Deshmukh', 'D Setti', 'N Bhanot', 'S Dilbag', 'PV Rao', 'PVS Suresh', 'NSK Reddy', 'K Ponappa', 'MK Sinha', 'N Suresh Kumar Reddy']"
Prof. B. P. Patel,"Nonlinear Dynamics, Computational Mechanics",2885,30,80,"['B Babu', 'S Kamat', 'KK Shukla', 'V Balamurugan', 'DS Pawargi', 'KR Prasad', 'M Ganapathi', 'SM Ibrahim', 'O Polit', 'Y Nath', 'SS Gupta', 'K Khan', 'MS Loknath', 'DP Makhecha', 'J Saravanan', 'M Touratier', 'P Boisse', 'BP Patel', 'CP Kadu']"
Aravindan S,"ceramics, welding, composites",7005,45,117,"['R Soundararajan', 'S Dhamodaran', 'P Asokan', 'SK Malhotra', 'A Naveen Sait', 'J Ramkumar', 'R Krishnamurthy', 'SK Mishra', 'N Yuvaraj', 'S Ghosh', 'G Karthikeyan', 'S Aravindan', 'M Uthayakumar', 'K Rajkumar', 'M Gupta', 'AN Haq', 'AR Ahamed', 'P Sathiya', 'K Paneerselvam', 'AV Muley', 'PV Rao', 'IP Singh', 'MK Prakash', 'K Ponappa', 'A Noorul Haq']"
Dr. Bhim Singh,"Power Electronics, Power Quality, Electric Machines, Solar Power, Electric Vehicles",64217,107,1111,"['SS Murthy', 'R Saha', 'S Singh', 'S Gupta', 'I Hussain', 'A Siddique', 'RK Agarwal', 'K Al-Haddad', 'R Kumar', 'A Chandra', 'V Verma', 'GS Yadava', 'BN Singh', 'DT Shahani', 'A Pandey', 'J Solanki', 'S Gairola', 'S Devassy', 'DP Kothari', 'ACKAH Bhim Singh', 'V Bist', 'B Singh']"
Bijaya Ketan Panigrahi,"Power Quality, Power System Protection, Evolutionary Computing, Soft Computing, Bio-medical Signal",26471,83,406,"['T Gandhi', 'S Mishra', 'S Ahuja', 'S Anand', 'V Kanhangad', 'S Agrawal', 'SR Yadav', 'P Swami', 'MK Tiwari', 'PK Das', 'V Rajinikanth', 'P Arora', 'R Panda', 'DK Sahoo', 'M Singh', 'TK Gandhi', 'CN Bhende', 'AK Tiwari', 'A Mukhopadhyay', 'VR Pandi', 'MH Lim', 'BK Panigrahi', 'B Biswal', 'B Sinh', 'S Das', 'A Abraham', 'HS Behera', 'H Kumar', 'RB Pachori', 'S Bhuyan', 'Y Shi', 'A Roy', 'M Tripathi', 'N Dey', 'AR Abhyankar', 'G Panda', 'J Seshadrinath', 'PK Dash']"
Srikanta Bedathur,"Databases, Information Retrieval, Data Mining",2564,24,56,"['N Mamoulis', 'S Seufert', 'S Bedathur', 'A Prasad', 'A Gubichev', 'A Anand', 'S Jain', 'I Arikan', 'J Dittrich', 'M Sozio', 'D Roy', 'S Wadhwa', 'S Ranu', 'N Sengupta', 'T Neumann', 'A Bagchi', 'R Angelova', 'AC Kaluarachchi', 'O Alonso', 'SJ Bedathur', 'A Feldman', 'G Weikum', 'T Tylenda', 'M Ramanath', 'JR Haritsa', 'M Mitra', 'R Schenkel', 'U Leong Hou', 'D Ganguly', 'J Peng', 'S Bhatia', 'K Berberich', 'AS Varde']"
Chetan Arora,"Computer Vision, Machine Learning",2860,26,57,"['A Subramanian', 'G Jaswal', 'S Singh', 'J Prakash', 'S Anand', 'S Agarwal', 'S Banerjee', 'V Namboodiri', 'S Kalia', 'A Rai', 'D Thapar', 'H Arora', 'R Hebbalaguppe', 'P Gupta', 'A Ephrat', 'S Yadav', 'SN Maheshwari', 'S Basu', 'S Patra', 'P Garg', 'K CVIT', 'M Gupta', 'BL Bhatnagar', 'A Agarwal', 'S Bansal', 'P Kumar', 'VN Balasubramanian', 'CV Jawahar', 'P Rana', '...', 'Y Poleg', 'H Rajgopal', 'N Madan', 'S Verma', 'P Nagar', 'P Kalra', 'K Rangarajan', 'S Peleg', 'A Mangal', 'A Nigam', 'A Gupta', 'C Arora', 'R Saluja', 'T Halperin']"
