,Interests,Citations,H-Index,i10-Index,Coauthors
Kunwar Singh,Cryptology,410,12,15,"['K Sundarakantham', 'KC Deepthi Kakumani', 'B Chakravarthi', 'R Tripathi', 'J Dharani', 'G Srivastava', 'KKC Deepthi', 'G Narayanan', 'P Sivakumar', 'AK Banerjee', 'R Agrawal', 'K Naik', 'L JJ', 'P Dikshit', 'S Sheshank', 'A Harikrishnan', 'S Parthasarathy', 'CP Rangan', 'K Singh', 'C Pandurangan', 'SK Karthika']"
Rama Subramanian,"Computer Architecture, Hardware Security",452,11,15,"['K Geetha', 'N Naganathan', 'NS Ramasubramanian', 'AD Joshi', 'T Kadhiravan', 'S Indrajeet', 'S Veerasingam', 'B Shameedha Begum', 'VV Varadhan', 'AK Das', 'L Gopalakrishnan', 'S Rajamanickam', '...', 'BK Priya', 'M Raj', 'SB Ko', 'S Kumar', 'R Amin', 'T Maitra', 'S Rajaram', 'R Shathanaa', 'A Roy', 'C Bammigatti', 'J Shukla', 'NA Gounden', 'BS Begum', 'J Kokila', 'K Kannadasan', 'S Rajmohan', 'S Vollala', 'N Ramasubramanian']"
mala chelliah,"Computer Networks, Network Security, Soft Computing, Artificial Intelligence, Internet of Things",706,13,20,"['N Renugadevi', 'S Sandeep', 'S Sanyam', 'C Mala', 'L Settipalli', 'B Nithya', 'M Sridevi', 'SU Mageswari', 'M Sankaranarayanan', 'B Nair', 'N Rajagopalan', 'NP Gopalan', 'V Punitha', 'S Bellamkonda', 'M Loganathan', 'V KumarB', 'S Mathew', 'S Manipriya', 'C Selvi', 'E Sivasankar', 'B Sivaselvan']"
Dr. Deepak Patil,"Micro nano manufacturing, Functional surfaces, Biomaterials, Antibacterial nanomaterials, Thin films",233,7,6,"['P Pragya', 'M Kaushal Wasson', 'V Golia', 'MJ Yadav', 'S Kumari', 'A Sharma', 'R Sarathi', 'V P', 'PV Rao', 'M Overland', 'PKDV Yarlagadda', 'V Perumal', '...', 'A Goswami', 'P Vivekanandan', 'I Xess', 'K Chatterjee', 'D Patil', 'S Aravindan', 'WH Khan', 'A Roy', 'M Yoshino', 'R Narayanasamy', 'S Pundir', 'M Stoller', 'A Pal', 'MK Wasson']"
Bishweshwar Babu,"Solid Mechanics, Finite Element Method, Plates and Shells, Dynamics and Stability, Nonlocal Theories of Elasticity",144,4,3,"['B Babu', 'BP Patel', 'K Koul', 'BBBP Patel', 'AK Shukla']"
Prof. S. Selvakumar,"Computer Networks, Routing, Multimedia Communication, Mobile Networks, and Network Security",2014,22,43,"['S Adithe', 'C Mohanadevi', 'E Harshini', 'B Sampath', 'S Yadav', 'PAR Kumar', 'S Bhattacharya', 'P Chatterjee', 'P Pathak', 'NGB Amma', 'V Sharath Chandra', '...', 'JS Isaac', 'R Leela', 'R Manikandan', 'R Pradhan', 'N Harikannan', 'R Leela Velusamy', 'V Sathiyamoorthi', 'R Damasevicius', 'S Selvakumar', 'R Subbiah', 'PM Kumar', 'PS Ranjit', 'R Shankar', 'R Kumar', 'E Elakkiya', 'AR Vasudevan', 'P Arun', 'S Kadry', 'R Gopi', 'N Thanulekshmi', 'S Subburam', 'N Vigneshkumar', 'V Venkatesh', 'BA NG', 'M Arul Selvan', 'ASG Gupta', 'S Geetha', 'RL Velusamy']"
S Mary Saira Bhanu,Cloud Fog Security,692,15,25,"['MSS Bhanu', 'T Veni', 'S Pv', 'PV Savyan', 'T Raja Sree', 'JS Nirmala', 'KU Maheswari', 'SMS Bhanu', 'S Nickolas', 'NP Gopalan', 'A Koduru', 'N Savarimuthu', 'AA Patel', 'S Mary Saira Bhanu', 'SS Vaithiya', 'S Bhanu', 'S Elkana Ebinazer', 'TR Sree', 'MB Bondada', 'KK Hingwe', 'JN OS', 'SJ Nirmala', 'TR Neelakantam', 'SK Jayadivya', 'SM Saira Bhanu']"
R Leela Velusamy,"Mobile adhoc networks, Social Networks, Wireless Sensor Networks, Digital Forensics",760,16,25,"['J Sumathi', 'S Selvakumar', 'R Leela', 'NGB Amma', 'A Srinivas', 'U Venkanna', 'S Priya', 'A Kavitha', 'P Suguna', 'V Anita', 'E Elakkiya', 'RG Thivyavignesh', 'B Kranthikumar', 'R Leela Velusamy', 'JK Agarwal', 'RL Velusamy', 'K Guravaiah', 'SK Yadav']"
Dr. Sridevi M,"Computer Vision, Machine & Deep learning, Virtual Reality, Parallel Processing",1024,19,29,"['S Sandeep', 'S Sanyam', 'C Mala', 'M Sridevi', 'SU Mageswari', 'M Kharde', 'M Sreenivasulu', 'U Kose', 'KM Sagayam', 'P Jayadev', 'S Vignesh', 'S Madichetty', 'O Deperlioglu', 'A Nidheesha', 'PM Bruntha', 'S Aishwarya', 'S Muthukumarasamy', 'MR Sam', 'D Bokadia', 'M Savithadevi', 'R Sridhar']"
Kamalika Bhattacharjee,Cellular Automata,388,7,5,"['SK Singh', 'K BHATTACHARJEE', 'SV Vaidhianathan', 'S Roy', 'V VIKRANT', 'N Naskar', 'S Das', 'K Bhattacharjee', 'V Manoranjan', 'N Verma', 'M Dharwish', 'D Paul', 'S Abhishek', 'G Sneha Rao', 'N More', 'S Mukherjee', 'S Adak', 'S Paul', 'A Das']"
